packet_index,ground_truth,model_prediction,zasl_label,soam_verdict,soam_action,primary_similarity,secondary_similarity,inf_ms,xai_ms,soam_ms,total_ms
1,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,6.499528884887695,4.999399185180664,6.941080093383789,18.44000816345215
2,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,4.486083984375,7.546663284301758,2.643585205078125,14.676332473754883
3,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,10.393619537353516,4.89044189453125,4.730224609375,20.014286041259766
5,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,6.517648696899414,7.705450057983398,2.3589134216308594,16.582012176513672
6,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,6.287336349487305,6.340265274047852,2.7120113372802734,15.33961296081543
7,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,7.747650146484375,5.042314529418945,4.715681076049805,17.505645751953125
8,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,7.05265998840332,4.104375839233398,5.248546600341797,16.405582427978516
10,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,6.641387939453125,3.8459300994873047,7.369041442871094,17.856359481811523
11,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,3.108978271484375,9.470701217651367,4.6520233154296875,17.23170280456543
12,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,6.914854049682617,4.575967788696289,5.049943923950195,16.5407657623291
13,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,8.018255233764648,4.982471466064453,7.244348526000977,20.245075225830078
14,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,6.707906723022461,4.673480987548828,6.262063980102539,17.643451690673828
15,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,7.400274276733398,4.570722579956055,6.215810775756836,18.18680763244629
16,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,7.632255554199219,4.69517707824707,7.187843322753906,19.515275955200195
17,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,5.359649658203125,4.970312118530273,6.943702697753906,17.273664474487305
18,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,7.06171989440918,3.327608108520508,4.109859466552734,14.499187469482422
19,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,8.834600448608398,5.417585372924805,4.713296890258789,18.965482711791992
20,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,1.7704963684082031,14.485359191894531,2.0487308502197266,18.30458641052246
21,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,10.027408599853516,4.438638687133789,8.631229400634766,23.09727668762207
22,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,6.97779655456543,6.175994873046875,2.490997314453125,15.64478874206543
23,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,1.8930435180664062,12.378215789794922,4.37617301940918,18.647432327270508
24,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,8.113861083984375,6.754398345947266,5.251646041870117,20.119905471801758
25,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,7.22956657409668,4.7321319580078125,2.234220504760742,14.195919036865234
26,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,10.066986083984375,3.169536590576172,6.888151168823242,20.12467384338379
28,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,8.728742599487305,1.161336898803711,5.100250244140625,14.99032974243164
29,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,1.7499923706054688,6.379365921020508,1.9862651824951172,10.115623474121094
30,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,6.264448165893555,3.965616226196289,1.981496810913086,12.21156120300293
31,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,6.118059158325195,3.4139156341552734,4.360198974609375,13.892173767089844
32,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,4.752635955810547,3.133058547973633,5.079030990600586,12.964725494384766
33,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,2.828359603881836,3.3843517303466797,3.0667781829833984,9.279489517211914
34,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,5.609989166259766,2.234935760498047,1.972198486328125,9.817123413085938
36,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,1.7383098602294922,9.078502655029297,1.9843578338623047,12.801170349121094
37,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,6.253957748413086,3.695964813232422,3.990650177001953,13.940572738647461
38,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,4.262447357177734,2.00653076171875,3.9949417114257812,10.263919830322266
39,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,4.532098770141602,3.1952857971191406,1.9016265869140625,9.629011154174805
40,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,1.646280288696289,6.468057632446289,1.916646957397461,10.030984878540039
41,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,6.35528564453125,3.4623146057128906,1.9752979278564453,11.792898178100586
42,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,5.913019180297852,3.89862060546875,5.125999450683594,14.937639236450195
43,TP,Attack,Packets Matched-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,4.601240158081055,3.7221908569335938,4.340171813964844,12.663602828979492
